representante,label,respuesta
Donatello,positiva,"ya lo hablé internamente, quieren avanzar"
Michelangelo,neutral,lo veo bien pero no decido yo
Donatello,neutral,aun npo hay proyesto
Raphael,neutral,aun no hay proyecto
Raphael,neutral,pongamoslo en standby
Raphael,negativa,FW: no evaluamos nuevas soluciones este año
Donatello,positiva,Agendemos algo y lo evaluamos con el equipo.
Donatello,neutral,estamos en medio de otra implementación
Leonardo,neutral,kontaktame máz adelante
Leonardo,positiva,"dale, zigamoz la konverzakión"
Donatello,negativa,"Gracias, pero no me interesa el servicio por ahora."
Michelangelo,positiva,"Sí, pasame link para agendar."
Donatello,neutral,eztamoz enfokadoz en otro tipo de zolukionez
Leonardo,neutral,estamos en medio de otra implementación
Michelangelo,neutral,tal vez máz adelante en el año.
Leonardo,positiva,podmz haser una reunión la zemana próxima.
Donatello,positiva,"re: me intereza la zolusión, avansen son demostracion"
Donatello,negativa,"Hola, ya usamos algo similar"
Donatello,neutral,pongamozlo en ztandby
Michelangelo,negativa,"grsz, nop eztoy evaluando ezto"
Donatello,positiva,Me interesa explorar esto más a fondo.
Michelangelo,negativa,grcs pero no nos sirve
Raphael,positiva,Me interesa explorar esto más a fondo.
Raphael,negativa,"pazo, grasiaz"
Leonardo,neutral,está bueno pero no es urgente
Leonardo,negativa,"hola, ia uzamoz algo zimilar"
Donatello,neutral,lo veo bien pero nop dekido yo
Michelangelo,neutral,lo veo bien pero no decido yo
Donatello,negativa,lo analizamos y no es lo que buscamos
Raphael,negativa,nop eztamoz buzkando alternativaz en ezte momento
Donatello,neutral,puede servirnos en otro momento
Leonardo,positiva,eztoy interezado en avanzar kon una dm.
Leonardo,neutral,ez interezante pero npo tengo ansho ahora
Raphael,negativa,No estamos buscando alternativas en este momento
Donatello,neutral,me intereza pero npo ez el mejor timing
Raphael,negativa,"pazo, grakiaz"
Michelangelo,neutral,puede servirnos en otro momento
Donatello,negativa,No estamos buscando alternativas en este momento
Donatello,positiva,agendemostracionz algo y lo evaluamoz kon el ekipo.
Leonardo,negativa,FW: no evaluamos nuevas soluciones este año
Leonardo,negativa,no aplica para nuestra operación actual
Michelangelo,negativa,no aplica para nuestra operación actual
Michelangelo,positiva,Me interesa explorar esto más a fondo.
Leonardo,neutral,está bueno pero no es urgente
Raphael,negativa,"Paso, gracias"
Leonardo,neutral,fw: para revizión en planning de fin de año
Donatello,negativa,"hola, lla uzamoz algo zimilar"
Leonardo,neutral,ahora eztamoz full kon otraz prioridadez
Raphael,negativa,"Gracias por escribir, pero estamos bien así"
Donatello,neutral,respondo rapido: no tengo definiciones aún
Leonardo,neutral,respondo rapido: no tengo definiciones aún
Raphael,positiva,"Esto nos interesa, ¿tienen casos de uso?"
Donatello,positiva,"Me interesa, compartime más info por favor."
Donatello,positiva,"zí, pazame link para agndar."
Raphael,positiva,"Sí, pasame link para agendar."
Michelangelo,positiva,"Dale, coordinemos una llamada para verlo."
Leonardo,positiva,"eztoy libre el juevez, ¿lez va bien?"
Leonardo,negativa,npo eztoy interezado x el momento
Donatello,neutral,fw: para revizión en planning de fin de año
Raphael,negativa,fw: nop evaluamoz nuevaz zolusionez ezte año
Donatello,positiva,agendemostracionz algo y lo evaluamoz son el ekipo.
Donatello,neutral,contactame más adelante
Leonardo,negativa,"pazo, grasiaz"
Leonardo,neutral,puede zervirnopz en otro momento
Leonardo,neutral,me interesa pero no es el mejor timing
Donatello,negativa,npo aplisa para nueztra operasión astual
Raphael,positiva,"eztoy libre el juevez, ¿lez va bien?"
Michelangelo,negativa,nueztro foso eztá en otra área ezte año
Donatello,neutral,lo veo bien pero no decido yo
Raphael,neutral,hola! puede que más adelante sirva
Leonardo,negativa,"npo me intereza x ahora, grakiaz!"
Leonardo,neutral,"estoy fuera de oficina, lo retomo luego"
Raphael,negativa,"nop, gracias!"
Leonardo,neutral,Tal vez más adelante en el año.
Leonardo,negativa,Ya tenemos proveedor
Donatello,negativa,fw: nop evaluamoz nuevaz zolukionez ezte año
Leonardo,negativa,nop eztamoz buzsando alternativaz en ezte momento
Leonardo,positiva,estoy cc a mi colega que ve estos temas
Raphael,negativa,"Hola, ya usamos algo similar"
Donatello,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Michelangelo,negativa,no aplica para nuestra operación actual
Leonardo,positiva,eztoy interezado en avanzar kon una dm.
Donatello,neutral,Tal vez más adelante en el año.
Leonardo,negativa,no lo vemos prioritario
Leonardo,neutral,estamos enfocados en otro tipo de soluciones
Raphael,negativa,No gracias
Michelangelo,negativa,"nop, gracias!"
Leonardo,negativa,no lo vemos prioritario
Michelangelo,neutral,respondo rapido: no tengo definiciones aún
Leonardo,neutral,pongamozlo en ztandby
Raphael,positiva,"lla lo hablé internamente, kieren avanzar"
Raphael,neutral,es interesante pero no tengo ancho ahora
Donatello,neutral,pongamoslo en standby
Leonardo,neutral,contactame más adelante
Raphael,negativa,nueztro foso eztá en otra área ezte año
Leonardo,negativa,"grasiaz, pero nop me intereza el zervisio x ahora."
Leonardo,negativa,no lo vemos prioritario
Leonardo,positiva,Podemos hacer una reunión la semana próxima.
Donatello,neutral,pongamoslo en standby
Michelangelo,negativa,lo analizamos y no es lo que buscamos
Raphael,positiva,Me interesa explorar esto más a fondo.
Donatello,positiva,"eztoy libre el juevez, ¿lez va bien?"
Michelangelo,positiva,"Estoy libre el jueves, ¿les va bien?"
Leonardo,positiva,"respondo desde el celu, agenden y lo veo"
